image_id,product_id,image_url,is_primary,sort_order
1,1,https://picsum.photos/seed/p1a/400/400,1,1
2,1,https://picsum.photos/seed/p1b/400/400,0,2
3,2,https://picsum.photos/seed/p2a/400/400,1,1
4,2,https://picsum.photos/seed/p2b/400/400,0,2
5,3,https://picsum.photos/seed/p3a/400/400,1,1
6,3,https://picsum.photos/seed/p3b/400/400,0,2
7,4,https://picsum.photos/seed/p4a/400/400,1,1
8,4,https://picsum.photos/seed/p4b/400/400,0,2
9,5,https://picsum.photos/seed/p5a/400/400,1,1
10,5,https://picsum.photos/seed/p5b/400/400,0,2
11,6,https://picsum.photos/seed/p6a/400/400,1,1
12,6,https://picsum.photos/seed/p6b/400/400,0,2
13,7,https://picsum.photos/seed/p7a/400/400,1,1
14,7,https://picsum.photos/seed/p7b/400/400,0,2
15,8,https://picsum.photos/seed/p8a/400/400,1,1
16,8,https://picsum.photos/seed/p8b/400/400,0,2
17,9,https://picsum.photos/seed/p9a/400/400,1,1
18,9,https://picsum.photos/seed/p9b/400/400,0,2
19,10,https://picsum.photos/seed/p10a/400/400,1,1
20,10,https://picsum.photos/seed/p10b/400/400,0,2
21,11,https://picsum.photos/seed/p11a/400/400,1,1
22,11,https://picsum.photos/seed/p11b/400/400,0,2
23,12,https://picsum.photos/seed/p12a/400/400,1,1
24,12,https://picsum.photos/seed/p12b/400/400,0,2
25,13,https://picsum.photos/seed/p13a/400/400,1,1
26,13,https://picsum.photos/seed/p13b/400/400,0,2
27,14,https://picsum.photos/seed/p14a/400/400,1,1
28,14,https://picsum.photos/seed/p14b/400/400,0,2
29,15,https://picsum.photos/seed/p15a/400/400,1,1
30,15,https://picsum.photos/seed/p15b/400/400,0,2
31,16,https://picsum.photos/seed/p16a/400/400,1,1
32,16,https://picsum.photos/seed/p16b/400/400,0,2
33,17,https://picsum.photos/seed/p17a/400/400,1,1
34,17,https://picsum.photos/seed/p17b/400/400,0,2
35,18,https://picsum.photos/seed/p18a/400/400,1,1
36,18,https://picsum.photos/seed/p18b/400/400,0,2
37,19,https://picsum.photos/seed/p19a/400/400,1,1
38,19,https://picsum.photos/seed/p19b/400/400,0,2
39,20,https://picsum.photos/seed/p20a/400/400,1,1
40,20,https://picsum.photos/seed/p20b/400/400,0,2
41,21,https://picsum.photos/seed/p21a/400/400,1,1
42,21,https://picsum.photos/seed/p21b/400/400,0,2
43,22,https://picsum.photos/seed/p22a/400/400,1,1
44,22,https://picsum.photos/seed/p22b/400/400,0,2
45,23,https://picsum.photos/seed/p23a/400/400,1,1
46,23,https://picsum.photos/seed/p23b/400/400,0,2
47,24,https://picsum.photos/seed/p24a/400/400,1,1
48,24,https://picsum.photos/seed/p24b/400/400,0,2
49,25,https://picsum.photos/seed/p25a/400/400,1,1
50,25,https://picsum.photos/seed/p25b/400/400,0,2
51,26,https://picsum.photos/seed/p26a/400/400,1,1
52,26,https://picsum.photos/seed/p26b/400/400,0,2
53,27,https://picsum.photos/seed/p27a/400/400,1,1
54,27,https://picsum.photos/seed/p27b/400/400,0,2
55,28,https://picsum.photos/seed/p28a/400/400,1,1
56,28,https://picsum.photos/seed/p28b/400/400,0,2
57,29,https://picsum.photos/seed/p29a/400/400,1,1
58,29,https://picsum.photos/seed/p29b/400/400,0,2
59,30,https://picsum.photos/seed/p30a/400/400,1,1
60,30,https://picsum.photos/seed/p30b/400/400,0,2
